Naziv knjige,Autor,Predložio,Korice,Epizoda,Prevod
Antifragile: Things That Gain from Disorder,Taleb,Edo Mehić,71PB16riDXL.jpg,https://www.youtube.com/watch?v=qWLWB9S8tuI&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=16&t=2s,No
The Effective Executive,Peter Drucker,Branimir Gajić,619O1ieMN4L.jpg,https://www.youtube.com/watch?v=fYfTG8ORfnY&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=15,No
Principles,Ray Dalio,Branimir Gajić,186537453.jpeg,https://www.youtube.com/watch?v=fYfTG8ORfnY&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=15,No
Zmaj i Ždral,Aleksandar Tešić,Dragan Tomić,milos_obilic_zmaj_i_zdral_vv.jpg,https://www.youtube.com/watch?v=BETgWCf2n6w&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=12,No
Tipping Piont,Malcom Gladwell,Dragan Tomić,images.png,https://www.youtube.com/watch?v=BETgWCf2n6w&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=12,No
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Branko Đaković,autostoperski_vodic_kroz_galaksiju_tp_vv.jpg,https://www.youtube.com/watch?v=hfneFP-rGIQ&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=11,No
The Harms Case,Douglas Adams,Branko Đaković,Slucaj_Harms.jpeg,https://www.youtube.com/watch?v=hfneFP-rGIQ&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=11,No
The Laws of Human Nature,Robert Greene,Vladimir Živaljević,TheLawsofHumanNatureNEW_860x.webp,https://www.youtube.com/watch?v=0EZZwtWng8g&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=9,No
Strategic Storytelling,Dave McKinsey,Miha Matlievski,8191B74XRL._AC_UL600_SR600600_.jpg,https://www.youtube.com/watch?v=0R7_yODzZ_0&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Beyond Performance 2.0,Scott Keller and Bill Schaninger,Nikola Jurišić,49A57480-E268-4678-BEAB-C0C1063538FFImg400.jpg,https://www.youtube.com/watch?v=LaNHC6yMOpo&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=7,No
The Culture Engine,Chris Edmonds,Nikola Jurišić,9781118947326-pdpxl.jpg,https://www.youtube.com/watch?v=LaNHC6yMOpo&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=7,No
Man's Search for Meaning,Viktor Frankl,"Nihad Softić, Nikola Jurišić",zasto-se-niste-ubili-viktor-frankl-makart--f2-42315.jpg,https://www.youtube.com/watch?v=LaNHC6yMOpo&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=7,No
The Nordic Secret,Lene Andersen,Nikola Jurišić,51F6bkVXLL._AC_SY200_QL15_.jpg,https://www.youtube.com/watch?v=LaNHC6yMOpo&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=7,No
Drive,Daniel Pink,Nihad Softić,images_(1).png,https://www.youtube.com/watch?v=2HKBEVH8b38&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=6,No
Grit,Angela Duckworth,Nihad Softić,SimonSchuster_Grit-816x1024.jpg,https://www.youtube.com/watch?v=2HKBEVH8b38&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=6,No
Catching the Wolf of Wall Street,Jordan Belfort,Nihad Softić,Catching_the_wolf_of_wall_street_--_book_cover.jpg,https://www.youtube.com/watch?v=2HKBEVH8b38&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=6,No
